City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Arraial Do Cabo,BR,75.16,light rain,-22.9661,-42.0278,Pousada Porto Praia
4,Carman,CA,75.54,scattered clouds,49.4992,-98.0016,"Bell Aura Bed, Breakfast & Bistro"
5,Kapaa,US,75.52,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
10,Cabo San Lucas,MX,86.61,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
11,Chodavaram,IN,78.64,overcast clouds,17.8333,82.95,Ganesh Defence Academy chodavadaram hostel
12,Kavaratti,IN,80.71,overcast clouds,10.5669,72.642,Green leaf
13,Jamestown,US,77.02,light rain,42.097,-79.2353,Hampton Inn & Suites Jamestown
16,Georgetown,MY,84.88,few clouds,5.4112,100.3354,Cititel Penang
17,Jiaojiang,CN,79.61,clear sky,28.6803,121.4428,Fangyuan Hotel
20,Hithadhoo,MV,82.18,overcast clouds,-0.6,73.0833,Scoop Guest House
22,Porto Novo,BJ,80.42,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
23,Butaritari,KI,80.55,light rain,3.0707,172.7902,Isles Sunset Lodge
30,Coxim,BR,88.79,overcast clouds,-18.5067,-54.76,Rancho Da Curica
32,Luwuk,ID,76.28,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
37,Oranjestad,AW,87.75,few clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
40,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
41,Lucapa,AO,87.28,clear sky,-8.4192,20.7447,Lírio Mendes
42,La Palma,US,85.96,scattered clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
48,Hasaki,JP,82.8,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
53,Atuona,PF,76.64,clear sky,-9.8,-139.0333,Villa Enata
54,Nizhniy Baskunchak,RU,89.47,scattered clouds,48.2198,46.8311,Arman hotel
56,Mindelo,CV,81.95,broken clouds,16.8901,-24.9804,Hotel Gaudi
59,Faanui,PF,76.59,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
72,Pochutla,MX,86.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
85,Salinopolis,BR,85.39,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
88,Victoria,HK,85.32,scattered clouds,22.2855,114.1577,Mini Central
89,Bengkulu,ID,76.6,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
92,Bauchi,NG,77.41,overcast clouds,10.5,10.0,
97,Pingliang,CN,78.04,overcast clouds,35.5392,106.6861,North Gate Hostel
98,Inirida,CO,89.04,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
100,Peniche,PT,78.08,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
101,Saint-Georges,GD,87.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
106,Lorengau,PG,81.59,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
128,Seoul,KR,78.37,heavy intensity rain,37.5683,126.9778,LOTTE HOTEL SEOUL
129,Avera,US,87.55,scattered clouds,33.194,-82.5271,
131,Bajil,YE,84.11,overcast clouds,15.0584,43.2851,فندق حضرموت
136,Hobyo,SO,76.98,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
137,Labuhan,ID,77.95,broken clouds,-6.8844,112.2051,DoubleFAG
