City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Almeirim,BR,2022-08-08 16:10:26,-1.5233,-52.5817,90.91,47,7,6.6,clear sky
1,Arraial Do Cabo,BR,2022-08-08 16:15:09,-22.9661,-42.0278,75.16,78,75,10.36,light rain
2,Bluff,NZ,2022-08-08 16:15:09,-46.6,168.3333,34.81,67,2,18.01,clear sky
3,Ushuaia,AR,2022-08-08 16:11:37,-54.8,-68.3,40.66,52,20,3.44,few clouds
4,Carman,CA,2022-08-08 16:15:10,49.4992,-98.0016,75.54,60,30,6.91,scattered clouds
5,Kapaa,US,2022-08-08 16:12:19,22.0752,-159.319,75.52,84,40,13.8,scattered clouds
6,Port Lincoln,AU,2022-08-08 16:15:10,-34.7333,135.8667,53.29,76,0,11.18,clear sky
7,Te Anau,NZ,2022-08-08 16:15:11,-45.4167,167.7167,20.52,97,81,1.72,broken clouds
8,Provideniya,RU,2022-08-08 16:15:11,64.3833,-173.3,36.21,77,92,10.83,overcast clouds
9,Langfang,CN,2022-08-08 16:11:33,39.5097,116.6947,72.19,70,100,5.12,overcast clouds
10,Cabo San Lucas,MX,2022-08-08 16:12:28,22.8909,-109.9124,86.61,74,100,10.36,overcast clouds
11,Chodavaram,IN,2022-08-08 16:15:12,17.8333,82.95,78.64,93,100,8.46,overcast clouds
12,Kavaratti,IN,2022-08-08 16:15:12,10.5669,72.642,80.71,83,100,20.62,overcast clouds
13,Jamestown,US,2022-08-08 16:13:07,42.097,-79.2353,77.02,72,100,12.66,light rain
14,Punta Arenas,CL,2022-08-08 16:12:27,-53.15,-70.9167,37.42,86,75,6.91,broken clouds
15,Mar Del Plata,AR,2022-08-08 16:11:04,-38.0023,-57.5575,53.62,79,40,5.99,scattered clouds
16,Georgetown,MY,2022-08-08 16:11:38,5.4112,100.3354,84.88,69,20,2.3,few clouds
17,Jiaojiang,CN,2022-08-08 16:15:13,28.6803,121.4428,79.61,90,10,7.94,clear sky
18,Dikson,RU,2022-08-08 16:15:13,73.5069,80.5464,42.64,97,100,19.64,overcast clouds
19,Mahebourg,MU,2022-08-08 16:15:13,-20.4081,57.7,70.09,78,40,5.75,scattered clouds
20,Hithadhoo,MV,2022-08-08 16:15:14,-0.6,73.0833,82.18,65,100,2.77,overcast clouds
21,Hobart,AU,2022-08-08 16:15:03,-42.8794,147.3294,37.06,89,2,5.75,clear sky
22,Porto Novo,BJ,2022-08-08 16:15:15,6.4965,2.6036,80.42,60,84,13.02,broken clouds
23,Butaritari,KI,2022-08-08 16:13:23,3.0707,172.7902,80.55,78,22,12.5,light rain
24,Port Alfred,ZA,2022-08-08 16:15:15,-33.5906,26.891,60.19,95,72,8.05,broken clouds
25,Fortuna,US,2022-08-08 16:15:16,40.5982,-124.1573,61.66,94,100,3.44,overcast clouds
26,Xichang,CN,2022-08-08 16:15:16,27.8964,102.2634,67.23,93,45,2.37,scattered clouds
27,Albany,US,2022-08-08 16:10:17,42.6001,-73.9662,91.27,67,53,4.12,broken clouds
28,Airai,TL,2022-08-08 16:15:17,-8.9266,125.4092,57.22,81,14,3.24,few clouds
29,Tocopilla,CL,2022-08-08 16:15:17,-22.092,-70.1979,64.18,64,3,6.6,clear sky
30,Coxim,BR,2022-08-08 16:15:18,-18.5067,-54.76,88.79,42,85,1.57,overcast clouds
31,Saskylakh,RU,2022-08-08 16:15:18,71.9167,114.0833,53.98,76,100,5.97,overcast clouds
32,Luwuk,ID,2022-08-08 16:15:18,-0.9516,122.7875,76.28,87,99,3.51,overcast clouds
33,Grindavik,IS,2022-08-08 16:15:19,63.8424,-22.4338,53.55,100,100,27.63,light intensity drizzle
34,Naryan-Mar,RU,2022-08-08 16:15:19,67.6713,53.087,61.59,53,61,13.73,broken clouds
35,Kaitangata,NZ,2022-08-08 16:15:19,-46.2817,169.8464,35.47,77,45,8.75,scattered clouds
36,Cape Town,ZA,2022-08-08 16:14:35,-33.9258,18.4232,60.12,76,0,5.75,clear sky
37,Oranjestad,AW,2022-08-08 16:15:20,12.524,-70.027,87.75,66,20,21.85,few clouds
38,Khatanga,RU,2022-08-08 16:15:20,71.9667,102.5,56.37,88,86,7.96,overcast clouds
39,Avarua,CK,2022-08-08 16:15:21,-21.2078,-159.775,71.65,73,40,6.91,scattered clouds
40,Vaini,TO,2022-08-08 16:15:21,-21.2,-175.2,75.36,94,20,6.91,few clouds
41,Lucapa,AO,2022-08-08 16:15:21,-8.4192,20.7447,87.28,14,5,3.65,clear sky
42,La Palma,US,2022-08-08 16:15:21,33.8464,-118.0467,85.96,76,40,8.05,scattered clouds
43,Conceicao Do Araguaia,BR,2022-08-08 16:15:22,-8.2578,-49.2647,101.35,17,53,7.76,broken clouds
44,Saint George,US,2022-08-08 16:15:22,37.1041,-113.5841,91.44,28,0,4.61,clear sky
45,Codrington,AU,2022-08-08 16:15:22,-38.2667,141.9667,46.04,72,100,5.84,overcast clouds
46,Belebey,RU,2022-08-08 16:15:23,54.1167,54.1167,70.93,73,100,3.33,overcast clouds
47,Macusani,PE,2022-08-08 16:12:13,-14.0833,-70.4333,39.51,83,96,9.4,overcast clouds
48,Hasaki,JP,2022-08-08 16:16:23,35.7333,140.8333,82.8,87,100,22.08,overcast clouds
49,Zawadzkie,PL,2022-08-08 16:16:24,50.605,18.4847,73.85,41,100,7.34,overcast clouds
50,Mount Gambier,AU,2022-08-08 16:16:24,-37.8333,140.7667,43.11,96,35,2.37,scattered clouds
51,Seymchan,RU,2022-08-08 16:16:24,62.8833,152.4333,60.87,61,43,7.18,scattered clouds
52,Chokurdakh,RU,2022-08-08 16:16:25,70.6333,147.9167,56.39,44,99,6.22,overcast clouds
53,Atuona,PF,2022-08-08 16:13:17,-9.8,-139.0333,76.64,73,9,13.29,clear sky
54,Nizhniy Baskunchak,RU,2022-08-08 16:16:25,48.2198,46.8311,89.47,17,44,8.01,scattered clouds
55,Mataura,NZ,2022-08-08 16:13:16,-46.1927,168.8643,34.48,79,2,7.0,clear sky
56,Mindelo,CV,2022-08-08 16:16:26,16.8901,-24.9804,81.95,65,75,5.75,broken clouds
